,Sample,Chrom,Start,End,Recovery
46,homo3,A01,1000000,2000000,1.0
47,homo4,A01,1000000,2000000,1.0
48,homo5,A01,1000000,2000000,1.0
49,homo6,A01,1000000,2000000,1.0
50,homo7,A01,1000000,2000000,1.0
51,homo8,A01,1000000,2000000,0.625
52,homo9,A01,1000000,2000000,0.625
53,homo10,A01,1000000,2000000,0.5833333333333334
54,homo11,A01,1000000,2000000,0.9583333333333334
55,homo12,A01,1000000,2000000,0.625
56,homo13,A01,1000000,2000000,0.625
57,homo14,A01,1000000,2000000,1.0
58,homo15,A01,1000000,2000000,0.5833333333333334
59,homo16,A01,1000000,2000000,0.625
60,homo17,A01,1000000,2000000,0.5833333333333334
61,homo18,A01,1000000,2000000,0.5833333333333334
62,homo19,A01,1000000,2000000,0.5833333333333334
63,homo20,A01,1000000,2000000,0.5
64,homo21,A01,1000000,2000000,1.0
65,homo22,A01,1000000,2000000,1.0
66,homo1,A01,1500000,2500000,0.9186046511627907
67,homo2,A01,1500000,2500000,0.9883720930232558
68,homo3,A01,1500000,2500000,0.8953488372093024
69,homo4,A01,1500000,2500000,0.9302325581395349
70,homo5,A01,1500000,2500000,0.9767441860465116
71,homo6,A01,1500000,2500000,0.9534883720930233
72,homo7,A01,1500000,2500000,1.0
73,homo8,A01,1500000,2500000,0.9186046511627907
74,homo9,A01,1500000,2500000,0.9186046511627907
75,homo10,A01,1500000,2500000,0.9069767441860465
76,homo11,A01,1500000,2500000,0.9767441860465116
77,homo12,A01,1500000,2500000,0.8837209302325582
78,homo13,A01,1500000,2500000,0.872093023255814
79,homo14,A01,1500000,2500000,1.0
80,homo15,A01,1500000,2500000,0.6976744186046512
81,homo16,A01,1500000,2500000,0.6744186046511628
82,homo17,A01,1500000,2500000,0.686046511627907
83,homo18,A01,1500000,2500000,0.9186046511627907
84,homo19,A01,1500000,2500000,0.872093023255814
85,homo20,A01,1500000,2500000,0.8604651162790697
86,homo21,A01,1500000,2500000,0.9883720930232558
87,homo22,A01,1500000,2500000,0.9767441860465116
88,homo1,A01,2000000,3000000,0.8984375
89,homo2,A01,2000000,3000000,0.9453125
90,homo3,A01,2000000,3000000,0.8828125
91,homo4,A01,2000000,3000000,0.90625
92,homo5,A01,2000000,3000000,0.953125
93,homo6,A01,2000000,3000000,0.921875
94,homo7,A01,2000000,3000000,0.9921875
95,homo8,A01,2000000,3000000,0.9296875
96,homo9,A01,2000000,3000000,0.953125
97,homo10,A01,2000000,3000000,0.9296875
98,homo11,A01,2000000,3000000,0.9765625
99,homo12,A01,2000000,3000000,0.90625
100,homo13,A01,2000000,3000000,0.8984375
101,homo14,A01,2000000,3000000,0.96875
102,homo15,A01,2000000,3000000,0.875
103,homo16,A01,2000000,3000000,0.6640625
104,homo17,A01,2000000,3000000,0.8203125
105,homo18,A01,2000000,3000000,0.9453125
106,homo19,A01,2000000,3000000,0.8984375
107,homo20,A01,2000000,3000000,0.8359375
108,homo21,A01,2000000,3000000,0.8984375
109,homo22,A01,2000000,3000000,0.9375
110,homo1,A01,2500000,3500000,0.9307692307692308
111,homo2,A01,2500000,3500000,0.8846153846153846
112,homo3,A01,2500000,3500000,0.9
113,homo4,A01,2500000,3500000,0.9230769230769231
114,homo5,A01,2500000,3500000,0.9384615384615385
115,homo6,A01,2500000,3500000,0.9307692307692308
116,homo7,A01,2500000,3500000,0.9692307692307692
117,homo8,A01,2500000,3500000,0.9076923076923077
118,homo9,A01,2500000,3500000,0.9538461538461539
119,homo10,A01,2500000,3500000,0.9
120,homo11,A01,2500000,3500000,0.9692307692307692
121,homo12,A01,2500000,3500000,0.9384615384615385
122,homo13,A01,2500000,3500000,0.9230769230769231
123,homo14,A01,2500000,3500000,0.9384615384615385
124,homo15,A01,2500000,3500000,0.7307692307692307
125,homo16,A01,2500000,3500000,0.46923076923076923
126,homo17,A01,2500000,3500000,0.6538461538461539
127,homo18,A01,2500000,3500000,0.9307692307692308
128,homo19,A01,2500000,3500000,0.9230769230769231
129,homo20,A01,2500000,3500000,0.8692307692307693
130,homo21,A01,2500000,3500000,0.8692307692307693
131,homo22,A01,2500000,3500000,0.9230769230769231
132,homo1,A01,3000000,4000000,0.9779411764705882
133,homo2,A01,3000000,4000000,0.9264705882352942
134,homo3,A01,3000000,4000000,0.9411764705882353
135,homo4,A01,3000000,4000000,0.9632352941176471
136,homo5,A01,3000000,4000000,0.9705882352941176
137,homo6,A01,3000000,4000000,0.9779411764705882
138,homo7,A01,3000000,4000000,0.9779411764705882
139,homo8,A01,3000000,4000000,0.9558823529411765
140,homo9,A01,3000000,4000000,0.9779411764705882
141,homo10,A01,3000000,4000000,0.9411764705882353
142,homo11,A01,3000000,4000000,0.9779411764705882
143,homo12,A01,3000000,4000000,0.9852941176470589
144,homo13,A01,3000000,4000000,0.9632352941176471
145,homo14,A01,3000000,4000000,0.9705882352941176
146,homo15,A01,3000000,4000000,0.3602941176470588
147,homo16,A01,3000000,4000000,0.3161764705882353
148,homo17,A01,3000000,4000000,0.3602941176470588
149,homo18,A01,3000000,4000000,0.9705882352941176
150,homo19,A01,3000000,4000000,0.9779411764705882
151,homo20,A01,3000000,4000000,0.9779411764705882
152,homo21,A01,3000000,4000000,0.9632352941176471
153,homo22,A01,3000000,4000000,0.9705882352941176
154,homo1,A01,3500000,4500000,0.9727272727272728
155,homo2,A01,3500000,4500000,0.990909090909091
156,homo3,A01,3500000,4500000,0.9636363636363636
157,homo4,A01,3500000,4500000,0.9727272727272728
158,homo5,A01,3500000,4500000,1.0
159,homo6,A01,3500000,4500000,0.9818181818181818
160,homo7,A01,3500000,4500000,1.0
161,homo8,A01,3500000,4500000,1.0
162,homo9,A01,3500000,4500000,1.0
163,homo10,A01,3500000,4500000,0.990909090909091
164,homo11,A01,3500000,4500000,1.0
165,homo12,A01,3500000,4500000,1.0
166,homo13,A01,3500000,4500000,0.9818181818181818
167,homo14,A01,3500000,4500000,1.0
168,homo15,A01,3500000,4500000,0.10909090909090909
169,homo16,A01,3500000,4500000,0.14545454545454545
170,homo17,A01,3500000,4500000,0.14545454545454545
171,homo18,A01,3500000,4500000,1.0
172,homo19,A01,3500000,4500000,1.0
173,homo20,A01,3500000,4500000,0.9818181818181818
174,homo21,A01,3500000,4500000,0.990909090909091
175,homo22,A01,3500000,4500000,1.0
176,homo1,A01,4000000,5000000,0.9516129032258065
177,homo2,A01,4000000,5000000,1.0
178,homo3,A01,4000000,5000000,0.9516129032258065
179,homo4,A01,4000000,5000000,0.967741935483871
180,homo5,A01,4000000,5000000,0.9838709677419355
181,homo6,A01,4000000,5000000,0.967741935483871
182,homo7,A01,4000000,5000000,1.0
183,homo8,A01,4000000,5000000,1.0
184,homo9,A01,4000000,5000000,1.0
185,homo10,A01,4000000,5000000,1.0
186,homo11,A01,4000000,5000000,0.9838709677419355
187,homo12,A01,4000000,5000000,1.0
188,homo13,A01,4000000,5000000,0.9838709677419355
189,homo14,A01,4000000,5000000,1.0
190,homo15,A01,4000000,5000000,0.25806451612903225
191,homo16,A01,4000000,5000000,0.24193548387096775
192,homo17,A01,4000000,5000000,0.1935483870967742
193,homo18,A01,4000000,5000000,1.0
194,homo19,A01,4000000,5000000,1.0
195,homo20,A01,4000000,5000000,0.967741935483871
196,homo21,A01,4000000,5000000,0.9838709677419355
197,homo22,A01,4000000,5000000,1.0
198,homo1,A01,4500000,5500000,0.9833333333333333
199,homo2,A01,4500000,5500000,1.0
200,homo3,A01,4500000,5500000,1.0
201,homo4,A01,4500000,5500000,0.9833333333333333
202,homo5,A01,4500000,5500000,0.9833333333333333
203,homo6,A01,4500000,5500000,1.0
204,homo7,A01,4500000,5500000,1.0
205,homo8,A01,4500000,5500000,1.0
206,homo9,A01,4500000,5500000,1.0
207,homo10,A01,4500000,5500000,1.0
208,homo11,A01,4500000,5500000,0.9833333333333333
209,homo12,A01,4500000,5500000,1.0
210,homo13,A01,4500000,5500000,0.9833333333333333
211,homo14,A01,4500000,5500000,0.9833333333333333
212,homo15,A01,4500000,5500000,0.9666666666666667
213,homo16,A01,4500000,5500000,0.5666666666666667
214,homo17,A01,4500000,5500000,0.9
215,homo18,A01,4500000,5500000,0.9833333333333333
216,homo19,A01,4500000,5500000,1.0
217,homo20,A01,4500000,5500000,1.0
218,homo21,A01,4500000,5500000,1.0
219,homo22,A01,4500000,5500000,0.9833333333333333
220,homo1,A01,5000000,6000000,0.9830508474576272
221,homo2,A01,5000000,6000000,0.9830508474576272
222,homo3,A01,5000000,6000000,0.9915254237288136
223,homo4,A01,5000000,6000000,0.9830508474576272
224,homo5,A01,5000000,6000000,0.9830508474576272
225,homo6,A01,5000000,6000000,0.9915254237288136
226,homo7,A01,5000000,6000000,1.0
227,homo8,A01,5000000,6000000,0.9915254237288136
228,homo9,A01,5000000,6000000,0.9915254237288136
229,homo10,A01,5000000,6000000,0.9915254237288136
230,homo11,A01,5000000,6000000,1.0
231,homo12,A01,5000000,6000000,0.9915254237288136
232,homo13,A01,5000000,6000000,0.9915254237288136
233,homo14,A01,5000000,6000000,0.9830508474576272
234,homo15,A01,5000000,6000000,0.8305084745762712
235,homo16,A01,5000000,6000000,0.5
236,homo17,A01,5000000,6000000,0.8389830508474576
237,homo18,A01,5000000,6000000,0.9830508474576272
238,homo19,A01,5000000,6000000,0.9915254237288136
239,homo20,A01,5000000,6000000,0.9915254237288136
240,homo21,A01,5000000,6000000,1.0
241,homo22,A01,5000000,6000000,0.9830508474576272
242,homo1,A01,5500000,6500000,0.9821428571428571
243,homo2,A01,5500000,6500000,0.9732142857142857
244,homo3,A01,5500000,6500000,0.9821428571428571
245,homo4,A01,5500000,6500000,0.9821428571428571
246,homo5,A01,5500000,6500000,0.9732142857142857
247,homo6,A01,5500000,6500000,0.9821428571428571
248,homo7,A01,5500000,6500000,0.9910714285714286
249,homo8,A01,5500000,6500000,0.9821428571428571
250,homo9,A01,5500000,6500000,0.9821428571428571
251,homo10,A01,5500000,6500000,0.9821428571428571
252,homo11,A01,5500000,6500000,0.9910714285714286
253,homo12,A01,5500000,6500000,0.9821428571428571
254,homo13,A01,5500000,6500000,0.9910714285714286
255,homo14,A01,5500000,6500000,0.9821428571428571
256,homo15,A01,5500000,6500000,0.7053571428571429
257,homo16,A01,5500000,6500000,0.5
258,homo17,A01,5500000,6500000,0.7142857142857143
259,homo18,A01,5500000,6500000,0.9821428571428571
260,homo19,A01,5500000,6500000,0.9821428571428571
261,homo20,A01,5500000,6500000,0.9732142857142857
262,homo21,A01,5500000,6500000,0.9910714285714286
263,homo22,A01,5500000,6500000,0.9821428571428571
264,homo1,A01,6000000,7000000,0.9761904761904762
265,homo2,A01,6000000,7000000,0.9761904761904762
266,homo3,A01,6000000,7000000,0.9761904761904762
267,homo4,A01,6000000,7000000,0.9761904761904762
268,homo5,A01,6000000,7000000,0.9761904761904762
269,homo6,A01,6000000,7000000,0.9761904761904762
270,homo7,A01,6000000,7000000,0.9761904761904762
271,homo8,A01,6000000,7000000,0.9761904761904762
272,homo9,A01,6000000,7000000,0.9761904761904762
273,homo10,A01,6000000,7000000,0.9761904761904762
274,homo11,A01,6000000,7000000,0.9761904761904762
275,homo12,A01,6000000,7000000,0.9761904761904762
276,homo13,A01,6000000,7000000,0.9761904761904762
277,homo14,A01,6000000,7000000,0.9761904761904762
278,homo15,A01,6000000,7000000,0.6428571428571429
279,homo16,A01,6000000,7000000,0.47619047619047616
280,homo17,A01,6000000,7000000,0.6428571428571429
281,homo18,A01,6000000,7000000,0.9761904761904762
282,homo19,A01,6000000,7000000,0.9761904761904762
283,homo20,A01,6000000,7000000,0.9523809523809523
284,homo21,A01,6000000,7000000,0.9761904761904762
285,homo22,A01,6000000,7000000,0.9761904761904762
286,homo1,A01,6500000,7500000,1.0
287,homo2,A01,6500000,7500000,1.0
288,homo3,A01,6500000,7500000,1.0
289,homo4,A01,6500000,7500000,1.0
290,homo5,A01,6500000,7500000,1.0
291,homo6,A01,6500000,7500000,1.0
292,homo7,A01,6500000,7500000,1.0
293,homo8,A01,6500000,7500000,1.0
294,homo9,A01,6500000,7500000,1.0
295,homo10,A01,6500000,7500000,1.0
296,homo11,A01,6500000,7500000,1.0
297,homo12,A01,6500000,7500000,1.0
298,homo13,A01,6500000,7500000,1.0
299,homo14,A01,6500000,7500000,1.0
300,homo15,A01,6500000,7500000,1.0
301,homo16,A01,6500000,7500000,0.5
302,homo17,A01,6500000,7500000,1.0
303,homo18,A01,6500000,7500000,1.0
304,homo19,A01,6500000,7500000,1.0
305,homo20,A01,6500000,7500000,1.0
306,homo21,A01,6500000,7500000,1.0
307,homo22,A01,6500000,7500000,1.0
308,homo1,A01,7000000,8000000,1.0
309,homo2,A01,7000000,8000000,1.0
310,homo3,A01,7000000,8000000,1.0
311,homo4,A01,7000000,8000000,1.0
312,homo5,A01,7000000,8000000,1.0
313,homo6,A01,7000000,8000000,1.0
314,homo7,A01,7000000,8000000,1.0
315,homo8,A01,7000000,8000000,1.0
316,homo9,A01,7000000,8000000,1.0
317,homo10,A01,7000000,8000000,1.0
318,homo11,A01,7000000,8000000,1.0
319,homo12,A01,7000000,8000000,1.0
320,homo13,A01,7000000,8000000,1.0
321,homo14,A01,7000000,8000000,1.0
322,homo15,A01,7000000,8000000,1.0
323,homo16,A01,7000000,8000000,0.5
324,homo17,A01,7000000,8000000,1.0
325,homo18,A01,7000000,8000000,1.0
326,homo19,A01,7000000,8000000,1.0
327,homo20,A01,7000000,8000000,1.0
328,homo21,A01,7000000,8000000,1.0
329,homo22,A01,7000000,8000000,1.0
330,homo1,A01,7500000,8500000,0.9285714285714286
331,homo2,A01,7500000,8500000,0.9285714285714286
332,homo3,A01,7500000,8500000,1.0
333,homo4,A01,7500000,8500000,1.0
334,homo5,A01,7500000,8500000,1.0
335,homo6,A01,7500000,8500000,0.9285714285714286
336,homo7,A01,7500000,8500000,1.0
337,homo8,A01,7500000,8500000,1.0
338,homo9,A01,7500000,8500000,1.0
339,homo10,A01,7500000,8500000,1.0
340,homo11,A01,7500000,8500000,1.0
341,homo12,A01,7500000,8500000,1.0
342,homo13,A01,7500000,8500000,1.0
343,homo14,A01,7500000,8500000,1.0
344,homo15,A01,7500000,8500000,0.9285714285714286
345,homo16,A01,7500000,8500000,0.5714285714285714
346,homo17,A01,7500000,8500000,0.9285714285714286
347,homo18,A01,7500000,8500000,1.0
348,homo19,A01,7500000,8500000,1.0
349,homo20,A01,7500000,8500000,1.0
350,homo21,A01,7500000,8500000,1.0
351,homo22,A01,7500000,8500000,1.0
352,homo1,A01,8000000,9000000,0.9313725490196079
353,homo2,A01,8000000,9000000,0.9607843137254902
354,homo3,A01,8000000,9000000,0.9705882352941176
355,homo4,A01,8000000,9000000,0.9901960784313726
356,homo5,A01,8000000,9000000,1.0
357,homo6,A01,8000000,9000000,0.7843137254901961
358,homo7,A01,8000000,9000000,0.9901960784313726
359,homo8,A01,8000000,9000000,0.9705882352941176
360,homo9,A01,8000000,9000000,0.9019607843137255
361,homo10,A01,8000000,9000000,1.0
362,homo11,A01,8000000,9000000,0.803921568627451
363,homo12,A01,8000000,9000000,0.803921568627451
364,homo13,A01,8000000,9000000,0.9607843137254902
365,homo14,A01,8000000,9000000,1.0
366,homo15,A01,8000000,9000000,0.7843137254901961
367,homo16,A01,8000000,9000000,0.5392156862745098
368,homo17,A01,8000000,9000000,0.7843137254901961
369,homo18,A01,8000000,9000000,1.0
370,homo19,A01,8000000,9000000,0.9901960784313726
371,homo20,A01,8000000,9000000,0.9509803921568627
372,homo21,A01,8000000,9000000,1.0
373,homo22,A01,8000000,9000000,0.9901960784313726
374,homo1,A01,8500000,9500000,0.9776785714285714
375,homo2,A01,8500000,9500000,0.9910714285714286
376,homo3,A01,8500000,9500000,0.9866071428571429
377,homo4,A01,8500000,9500000,0.9955357142857143
378,homo5,A01,8500000,9500000,1.0
379,homo6,A01,8500000,9500000,0.9107142857142857
380,homo7,A01,8500000,9500000,0.9955357142857143
381,homo8,A01,8500000,9500000,0.9866071428571429
382,homo9,A01,8500000,9500000,0.9553571428571429
383,homo10,A01,8500000,9500000,1.0
384,homo11,A01,8500000,9500000,0.9107142857142857
385,homo12,A01,8500000,9500000,0.9107142857142857
386,homo13,A01,8500000,9500000,0.9821428571428571
387,homo14,A01,8500000,9500000,0.9910714285714286
388,homo15,A01,8500000,9500000,0.9107142857142857
389,homo16,A01,8500000,9500000,0.5178571428571429
390,homo17,A01,8500000,9500000,0.9107142857142857
391,homo18,A01,8500000,9500000,1.0
392,homo19,A01,8500000,9500000,0.9955357142857143
393,homo20,A01,8500000,9500000,0.9776785714285714
394,homo21,A01,8500000,9500000,0.9955357142857143
395,homo22,A01,8500000,9500000,0.9955357142857143
396,homo1,A01,9000000,10000000,1.0
397,homo2,A01,9000000,10000000,1.0
398,homo3,A01,9000000,10000000,1.0
399,homo4,A01,9000000,10000000,1.0
400,homo5,A01,9000000,10000000,1.0
401,homo6,A01,9000000,10000000,1.0
402,homo7,A01,9000000,10000000,1.0
403,homo8,A01,9000000,10000000,1.0
404,homo9,A01,9000000,10000000,1.0
405,homo10,A01,9000000,10000000,1.0
406,homo11,A01,9000000,10000000,1.0
407,homo12,A01,9000000,10000000,1.0
408,homo13,A01,9000000,10000000,1.0
409,homo14,A01,9000000,10000000,0.9894736842105263
410,homo15,A01,9000000,10000000,1.0
411,homo16,A01,9000000,10000000,0.5105263157894737
412,homo17,A01,9000000,10000000,1.0
413,homo18,A01,9000000,10000000,1.0
414,homo19,A01,9000000,10000000,1.0
415,homo20,A01,9000000,10000000,1.0
416,homo21,A01,9000000,10000000,0.9947368421052631
417,homo22,A01,9000000,10000000,1.0
418,homo1,A01,9500000,10500000,1.0
419,homo2,A01,9500000,10500000,1.0
420,homo3,A01,9500000,10500000,1.0
421,homo4,A01,9500000,10500000,1.0
422,homo5,A01,9500000,10500000,1.0
423,homo6,A01,9500000,10500000,1.0
424,homo7,A01,9500000,10500000,1.0
425,homo8,A01,9500000,10500000,1.0
426,homo9,A01,9500000,10500000,1.0
427,homo10,A01,9500000,10500000,1.0
428,homo11,A01,9500000,10500000,1.0
429,homo12,A01,9500000,10500000,1.0
430,homo13,A01,9500000,10500000,1.0
431,homo14,A01,9500000,10500000,1.0
432,homo15,A01,9500000,10500000,1.0
433,homo16,A01,9500000,10500000,0.5
434,homo17,A01,9500000,10500000,1.0
435,homo18,A01,9500000,10500000,1.0
436,homo19,A01,9500000,10500000,1.0
437,homo20,A01,9500000,10500000,1.0
438,homo21,A01,9500000,10500000,1.0
439,homo22,A01,9500000,10500000,1.0
440,homo1,A01,10500000,11500000,1.0
441,homo2,A01,10500000,11500000,1.0
442,homo3,A01,10500000,11500000,1.0
443,homo4,A01,10500000,11500000,1.0
444,homo5,A01,10500000,11500000,1.0
445,homo6,A01,10500000,11500000,1.0
446,homo7,A01,10500000,11500000,1.0
447,homo8,A01,10500000,11500000,1.0
448,homo9,A01,10500000,11500000,1.0
449,homo10,A01,10500000,11500000,1.0
450,homo11,A01,10500000,11500000,1.0
451,homo12,A01,10500000,11500000,1.0
452,homo13,A01,10500000,11500000,1.0
453,homo14,A01,10500000,11500000,1.0
454,homo15,A01,10500000,11500000,0.0
455,homo16,A01,10500000,11500000,0.5
456,homo17,A01,10500000,11500000,0.0
457,homo18,A01,10500000,11500000,0.5
458,homo19,A01,10500000,11500000,1.0
459,homo20,A01,10500000,11500000,0.5
460,homo21,A01,10500000,11500000,1.0
461,homo22,A01,10500000,11500000,1.0
462,homo1,A01,11000000,12000000,1.0
463,homo2,A01,11000000,12000000,1.0
464,homo3,A01,11000000,12000000,1.0
465,homo4,A01,11000000,12000000,1.0
466,homo5,A01,11000000,12000000,1.0
467,homo6,A01,11000000,12000000,1.0
468,homo7,A01,11000000,12000000,1.0
469,homo8,A01,11000000,12000000,1.0
470,homo9,A01,11000000,12000000,1.0
471,homo10,A01,11000000,12000000,1.0
472,homo11,A01,11000000,12000000,1.0
473,homo12,A01,11000000,12000000,1.0
474,homo13,A01,11000000,12000000,1.0
475,homo14,A01,11000000,12000000,1.0
476,homo15,A01,11000000,12000000,0.0
477,homo16,A01,11000000,12000000,0.3958333333333333
478,homo17,A01,11000000,12000000,0.0
479,homo18,A01,11000000,12000000,0.5
480,homo19,A01,11000000,12000000,1.0
481,homo20,A01,11000000,12000000,0.5
482,homo21,A01,11000000,12000000,1.0
483,homo22,A01,11000000,12000000,1.0
484,homo1,A01,11500000,12500000,1.0
485,homo2,A01,11500000,12500000,1.0
486,homo3,A01,11500000,12500000,1.0
487,homo4,A01,11500000,12500000,1.0
488,homo5,A01,11500000,12500000,1.0
489,homo6,A01,11500000,12500000,1.0
490,homo7,A01,11500000,12500000,1.0
491,homo8,A01,11500000,12500000,1.0
492,homo9,A01,11500000,12500000,1.0
493,homo10,A01,11500000,12500000,1.0
494,homo11,A01,11500000,12500000,1.0
495,homo12,A01,11500000,12500000,1.0
496,homo13,A01,11500000,12500000,1.0
497,homo14,A01,11500000,12500000,1.0
498,homo15,A01,11500000,12500000,0.26666666666666666
499,homo16,A01,11500000,12500000,0.4166666666666667
500,homo17,A01,11500000,12500000,0.26666666666666666
501,homo18,A01,11500000,12500000,0.6333333333333333
502,homo19,A01,11500000,12500000,1.0
503,homo20,A01,11500000,12500000,0.6333333333333333
504,homo21,A01,11500000,12500000,1.0
505,homo22,A01,11500000,12500000,1.0
506,homo1,A01,12000000,13000000,1.0
507,homo2,A01,12000000,13000000,1.0
508,homo3,A01,12000000,13000000,1.0
509,homo4,A01,12000000,13000000,1.0
510,homo5,A01,12000000,13000000,1.0
511,homo6,A01,12000000,13000000,1.0
512,homo7,A01,12000000,13000000,1.0
513,homo8,A01,12000000,13000000,1.0
514,homo9,A01,12000000,13000000,1.0
515,homo10,A01,12000000,13000000,1.0
516,homo11,A01,12000000,13000000,1.0
517,homo12,A01,12000000,13000000,1.0
518,homo13,A01,12000000,13000000,1.0
519,homo14,A01,12000000,13000000,1.0
520,homo15,A01,12000000,13000000,0.4
521,homo16,A01,12000000,13000000,0.5
522,homo17,A01,12000000,13000000,0.4
523,homo18,A01,12000000,13000000,0.7
524,homo19,A01,12000000,13000000,1.0
525,homo20,A01,12000000,13000000,0.7
526,homo21,A01,12000000,13000000,1.0
527,homo22,A01,12000000,13000000,1.0
528,homo1,A01,12500000,13500000,1.0
529,homo2,A01,12500000,13500000,1.0
530,homo3,A01,12500000,13500000,0.8
531,homo4,A01,12500000,13500000,0.8
532,homo5,A01,12500000,13500000,1.0
533,homo6,A01,12500000,13500000,1.0
534,homo7,A01,12500000,13500000,1.0
535,homo8,A01,12500000,13500000,1.0
536,homo9,A01,12500000,13500000,1.0
537,homo10,A01,12500000,13500000,1.0
538,homo11,A01,12500000,13500000,1.0
539,homo12,A01,12500000,13500000,1.0
540,homo13,A01,12500000,13500000,1.0
541,homo14,A01,12500000,13500000,1.0
542,homo15,A01,12500000,13500000,0.4
543,homo16,A01,12500000,13500000,0.7
544,homo17,A01,12500000,13500000,0.4
545,homo18,A01,12500000,13500000,0.7
546,homo19,A01,12500000,13500000,1.0
547,homo20,A01,12500000,13500000,0.7
548,homo21,A01,12500000,13500000,1.0
549,homo22,A01,12500000,13500000,0.8
550,homo1,A01,13000000,14000000,1.0
551,homo2,A01,13000000,14000000,1.0
552,homo3,A01,13000000,14000000,0.9375
553,homo4,A01,13000000,14000000,0.9375
554,homo5,A01,13000000,14000000,1.0
555,homo6,A01,13000000,14000000,0.9375
556,homo7,A01,13000000,14000000,1.0
557,homo8,A01,13000000,14000000,1.0
558,homo9,A01,13000000,14000000,1.0
559,homo10,A01,13000000,14000000,1.0
560,homo11,A01,13000000,14000000,1.0
561,homo12,A01,13000000,14000000,1.0
562,homo13,A01,13000000,14000000,1.0
563,homo14,A01,13000000,14000000,1.0
564,homo15,A01,13000000,14000000,0.3125
565,homo16,A01,13000000,14000000,0.65625
566,homo17,A01,13000000,14000000,0.3125
567,homo18,A01,13000000,14000000,0.625
568,homo19,A01,13000000,14000000,1.0
569,homo20,A01,13000000,14000000,0.625
570,homo21,A01,13000000,14000000,1.0
571,homo22,A01,13000000,14000000,0.9375
572,homo1,A01,13500000,14500000,1.0
573,homo2,A01,13500000,14500000,0.9833333333333333
574,homo3,A01,13500000,14500000,0.9333333333333333
575,homo4,A01,13500000,14500000,1.0
576,homo5,A01,13500000,14500000,1.0
577,homo6,A01,13500000,14500000,0.8833333333333333
578,homo7,A01,13500000,14500000,1.0
579,homo8,A01,13500000,14500000,0.9666666666666667
580,homo9,A01,13500000,14500000,1.0
581,homo10,A01,13500000,14500000,0.8666666666666667
582,homo11,A01,13500000,14500000,1.0
583,homo12,A01,13500000,14500000,0.9166666666666666
584,homo13,A01,13500000,14500000,0.95
585,homo14,A01,13500000,14500000,0.95
586,homo15,A01,13500000,14500000,0.5166666666666667
587,homo16,A01,13500000,14500000,0.6333333333333333
588,homo17,A01,13500000,14500000,0.5666666666666667
589,homo18,A01,13500000,14500000,0.8
590,homo19,A01,13500000,14500000,1.0
591,homo20,A01,13500000,14500000,0.8333333333333334
592,homo21,A01,13500000,14500000,0.9666666666666667
593,homo22,A01,13500000,14500000,1.0
594,homo1,A01,14000000,15000000,1.0
595,homo2,A01,14000000,15000000,0.975
596,homo3,A01,14000000,15000000,0.9
597,homo4,A01,14000000,15000000,1.0
598,homo5,A01,14000000,15000000,1.0
599,homo6,A01,14000000,15000000,0.875
600,homo7,A01,14000000,15000000,1.0
601,homo8,A01,14000000,15000000,0.95
602,homo9,A01,14000000,15000000,1.0
603,homo10,A01,14000000,15000000,0.8
604,homo11,A01,14000000,15000000,1.0
605,homo12,A01,14000000,15000000,0.875
606,homo13,A01,14000000,15000000,0.925
